(LAB) (base) ghanaatian@explorer:~/MYFILES/FALL24/Physics$ /home/g/ghanaatian/LAB/bin/python3 /home/g/ghanaatian/MYFILES/FALL24/Physics/12/new2/res.py
Epoch 1/192 | Train Loss: 14.628869 | Val Loss: 13.807031
Epoch 2/192 | Train Loss: 13.614074 | Val Loss: 12.838946
Epoch 3/192 | Train Loss: 12.688004 | Val Loss: 11.956579
Epoch 4/192 | Train Loss: 11.844118 | Val Loss: 11.152432
Epoch 5/192 | Train Loss: 11.077708 | Val Loss: 10.419638
Epoch 6/192 | Train Loss: 10.376116 | Val Loss: 9.751405
Epoch 7/192 | Train Loss: 9.735602 | Val Loss: 9.143648
Epoch 8/192 | Train Loss: 9.156382 | Val Loss: 8.591598
Epoch 9/192 | Train Loss: 8.788865 | Val Loss: 8.089769
Epoch 10/192 | Train Loss: 8.150978 | Val Loss: 7.634831
Epoch 11/192 | Train Loss: 7.717095 | Val Loss: 7.221838
Epoch 12/192 | Train Loss: 7.322020 | Val Loss: 6.852922
Epoch 13/192 | Train Loss: 6.980078 | Val Loss: 6.537244
Epoch 14/192 | Train Loss: 6.685568 | Val Loss: 6.267085
Epoch 15/192 | Train Loss: 6.434394 | Val Loss: 6.033335
Epoch 16/192 | Train Loss: 6.216959 | Val Loss: 5.829060
Epoch 17/192 | Train Loss: 6.026604 | Val Loss: 5.648906
Epoch 18/192 | Train Loss: 5.853079 | Val Loss: 5.488594
Epoch 19/192 | Train Loss: 5.705021 | Val Loss: 5.346075
Epoch 20/192 | Train Loss: 5.571026 | Val Loss: 5.217919
Epoch 21/192 | Train Loss: 5.449408 | Val Loss: 5.102010
Epoch 22/192 | Train Loss: 5.333654 | Val Loss: 4.997480
Epoch 23/192 | Train Loss: 5.242437 | Val Loss: 4.902304
Epoch 24/192 | Train Loss: 5.141228 | Val Loss: 4.815662
Epoch 25/192 | Train Loss: 5.061035 | Val Loss: 4.736188
Epoch 26/192 | Train Loss: 4.985970 | Val Loss: 4.663506
Epoch 27/192 | Train Loss: 4.914161 | Val Loss: 4.596819
Epoch 28/192 | Train Loss: 4.850459 | Val Loss: 4.535069
Epoch 29/192 | Train Loss: 4.793685 | Val Loss: 4.478230
Epoch 30/192 | Train Loss: 4.736134 | Val Loss: 4.425409
Epoch 31/192 | Train Loss: 4.688726 | Val Loss: 4.376316
Epoch 32/192 | Train Loss: 4.638700 | Val Loss: 4.331146
Epoch 33/192 | Train Loss: 4.594010 | Val Loss: 4.288344
Epoch 34/192 | Train Loss: 4.552953 | Val Loss: 4.249092
Epoch 35/192 | Train Loss: 4.516891 | Val Loss: 4.212183
Epoch 36/192 | Train Loss: 4.481201 | Val Loss: 4.177415
Epoch 37/192 | Train Loss: 4.449202 | Val Loss: 4.144916
Epoch 38/192 | Train Loss: 4.414071 | Val Loss: 4.114556
Epoch 39/192 | Train Loss: 4.389011 | Val Loss: 4.085639
Epoch 40/192 | Train Loss: 4.356759 | Val Loss: 4.058519
Epoch 41/192 | Train Loss: 4.329031 | Val Loss: 4.032885
Epoch 42/192 | Train Loss: 4.306726 | Val Loss: 4.008841
Epoch 43/192 | Train Loss: 4.280082 | Val Loss: 3.986081
Epoch 44/192 | Train Loss: 4.261009 | Val Loss: 3.964119
Epoch 45/192 | Train Loss: 4.239272 | Val Loss: 3.943569
Epoch 46/192 | Train Loss: 4.217917 | Val Loss: 3.924089
Epoch 47/192 | Train Loss: 4.198105 | Val Loss: 3.905379
Epoch 48/192 | Train Loss: 4.181349 | Val Loss: 3.887429
Epoch 49/192 | Train Loss: 4.163225 | Val Loss: 3.870510
Epoch 50/192 | Train Loss: 4.318040 | Val Loss: 3.854160
Epoch 51/192 | Train Loss: 4.133685 | Val Loss: 3.838778
Epoch 52/192 | Train Loss: 4.115822 | Val Loss: 3.823948
Epoch 53/192 | Train Loss: 4.100435 | Val Loss: 3.809491
Epoch 54/192 | Train Loss: 4.089886 | Val Loss: 3.795733
Epoch 55/192 | Train Loss: 4.071248 | Val Loss: 3.782282
Epoch 56/192 | Train Loss: 4.057652 | Val Loss: 3.769441
Epoch 57/192 | Train Loss: 4.061580 | Val Loss: 3.757136
Epoch 58/192 | Train Loss: 4.036836 | Val Loss: 3.745219
Epoch 59/192 | Train Loss: 4.027426 | Val Loss: 3.733639
Epoch 60/192 | Train Loss: 4.011956 | Val Loss: 3.722348
Epoch 61/192 | Train Loss: 4.000749 | Val Loss: 3.711324
Epoch 62/192 | Train Loss: 3.988751 | Val Loss: 3.700653
Epoch 63/192 | Train Loss: 3.978497 | Val Loss: 3.690320
Epoch 64/192 | Train Loss: 3.969124 | Val Loss: 3.680257
Epoch 65/192 | Train Loss: 3.959936 | Val Loss: 3.670622
Epoch 66/192 | Train Loss: 3.949272 | Val Loss: 3.660884
Epoch 67/192 | Train Loss: 3.939843 | Val Loss: 3.651588
Epoch 68/192 | Train Loss: 3.929657 | Val Loss: 3.642271
Epoch 69/192 | Train Loss: 3.921921 | Val Loss: 3.633395
Epoch 70/192 | Train Loss: 3.980988 | Val Loss: 3.624483
Epoch 71/192 | Train Loss: 3.904247 | Val Loss: 3.615735
Epoch 72/192 | Train Loss: 3.897692 | Val Loss: 3.607164
Epoch 73/192 | Train Loss: 3.884788 | Val Loss: 3.598791
Epoch 74/192 | Train Loss: 3.879920 | Val Loss: 3.590375
Epoch 75/192 | Train Loss: 3.868593 | Val Loss: 3.582269
Epoch 76/192 | Train Loss: 3.863833 | Val Loss: 3.574114
Epoch 77/192 | Train Loss: 3.855124 | Val Loss: 3.566082
Epoch 78/192 | Train Loss: 3.847946 | Val Loss: 3.558355
Epoch 79/192 | Train Loss: 3.837168 | Val Loss: 3.550513
Epoch 80/192 | Train Loss: 3.831663 | Val Loss: 3.542886
Epoch 81/192 | Train Loss: 3.819241 | Val Loss: 3.535120
Epoch 82/192 | Train Loss: 3.818115 | Val Loss: 3.527336
Epoch 83/192 | Train Loss: 3.806730 | Val Loss: 3.520059
Epoch 84/192 | Train Loss: 3.803235 | Val Loss: 3.512507
Epoch 85/192 | Train Loss: 3.793517 | Val Loss: 3.504983
Epoch 86/192 | Train Loss: 3.786987 | Val Loss: 3.497714
Epoch 87/192 | Train Loss: 3.779111 | Val Loss: 3.490346
Epoch 88/192 | Train Loss: 3.793540 | Val Loss: 3.483115
Epoch 89/192 | Train Loss: 3.763211 | Val Loss: 3.475836
Epoch 90/192 | Train Loss: 3.757050 | Val Loss: 3.468699
Epoch 91/192 | Train Loss: 3.751988 | Val Loss: 3.461541
Epoch 92/192 | Train Loss: 3.744286 | Val Loss: 3.454293
Epoch 93/192 | Train Loss: 3.738640 | Val Loss: 3.447234
Epoch 94/192 | Train Loss: 3.737820 | Val Loss: 3.440264
Epoch 95/192 | Train Loss: 3.720211 | Val Loss: 3.433250
Epoch 96/192 | Train Loss: 3.713425 | Val Loss: 3.426281
Epoch 97/192 | Train Loss: 3.708450 | Val Loss: 3.419231
Epoch 98/192 | Train Loss: 3.701120 | Val Loss: 3.412279
Epoch 99/192 | Train Loss: 3.692061 | Val Loss: 3.405397
Epoch 100/192 | Train Loss: 3.686673 | Val Loss: 3.398505
Epoch 101/192 | Train Loss: 3.676286 | Val Loss: 3.391456
Epoch 102/192 | Train Loss: 3.669530 | Val Loss: 3.384657
Epoch 103/192 | Train Loss: 3.663988 | Val Loss: 3.377782
Epoch 104/192 | Train Loss: 3.659223 | Val Loss: 3.370907
Epoch 105/192 | Train Loss: 3.650469 | Val Loss: 3.364170
Epoch 106/192 | Train Loss: 3.645985 | Val Loss: 3.357312
Epoch 107/192 | Train Loss: 3.638379 | Val Loss: 3.350443
Epoch 108/192 | Train Loss: 3.634287 | Val Loss: 3.343725
Epoch 109/192 | Train Loss: 3.624889 | Val Loss: 3.336891
Epoch 110/192 | Train Loss: 3.617754 | Val Loss: 3.330206
Epoch 111/192 | Train Loss: 3.610758 | Val Loss: 3.323475
Epoch 112/192 | Train Loss: 3.606920 | Val Loss: 3.316722
Epoch 113/192 | Train Loss: 3.597159 | Val Loss: 3.310091
Epoch 114/192 | Train Loss: 3.590089 | Val Loss: 3.303367
Epoch 115/192 | Train Loss: 3.606470 | Val Loss: 3.296738
Epoch 116/192 | Train Loss: 3.575719 | Val Loss: 3.290006
Epoch 117/192 | Train Loss: 3.569449 | Val Loss: 3.283386
Epoch 118/192 | Train Loss: 3.563448 | Val Loss: 3.276772
Epoch 119/192 | Train Loss: 3.557995 | Val Loss: 3.270115
Epoch 120/192 | Train Loss: 3.555162 | Val Loss: 3.263477
Epoch 121/192 | Train Loss: 3.554613 | Val Loss: 3.256932
Epoch 122/192 | Train Loss: 3.541544 | Val Loss: 3.250340
Epoch 123/192 | Train Loss: 3.530903 | Val Loss: 3.243787
Epoch 124/192 | Train Loss: 3.525615 | Val Loss: 3.237247
Epoch 125/192 | Train Loss: 3.518241 | Val Loss: 3.230595
Epoch 126/192 | Train Loss: 3.512639 | Val Loss: 3.224147
Epoch 127/192 | Train Loss: 3.508206 | Val Loss: 3.217588
Epoch 128/192 | Train Loss: 3.495235 | Val Loss: 3.211015
Epoch 129/192 | Train Loss: 3.494431 | Val Loss: 3.204583
Epoch 130/192 | Train Loss: 3.485758 | Val Loss: 3.198044
Epoch 131/192 | Train Loss: 3.478086 | Val Loss: 3.191558
Epoch 132/192 | Train Loss: 3.473853 | Val Loss: 3.185089
Epoch 133/192 | Train Loss: 3.463756 | Val Loss: 3.178622
Epoch 134/192 | Train Loss: 3.477060 | Val Loss: 3.172145
Epoch 135/192 | Train Loss: 3.451710 | Val Loss: 3.165774
Epoch 136/192 | Train Loss: 3.446815 | Val Loss: 3.159349
Epoch 137/192 | Train Loss: 3.441549 | Val Loss: 3.152911
Epoch 138/192 | Train Loss: 3.434796 | Val Loss: 3.146508
Epoch 139/192 | Train Loss: 3.426191 | Val Loss: 3.140161
Epoch 140/192 | Train Loss: 3.423967 | Val Loss: 3.133760
Epoch 141/192 | Train Loss: 3.415976 | Val Loss: 3.127455
